nombre,sector,precio,area,publicador1,publicador2,tiempo_publicacion,finalizado,fecha_venta
Terreno 9640 m² Sector Santa Lucia - Norte de Quito,"Norte de Quito, Quito",USD 2.200.000,0 Baños,/logo_inmocontacto_1516812567701.jpg,/logo_inmocontacto_1516812567701.jpg,Publicado hace más de 1 año,,
"Sangolqui, Terreno Urb. Banco Fomento 420 m²","Sangolqui, Quito",USD 45.000,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace 47 días,,
Terreno I4 en Calacalí 31000,"Norte de Quito, Quito",USD 1.999.000,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace 31 días,,
"Sangolquí, Terreno en Venta 2440 m²","Sangolqui, Quito",USD 180.000,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace 98 días,,
Espectacular Terreno 2.500 m²,"El Inca, Quito",USD 699.000,0 Baños,/logo_match-inmobiliaria_1596571732726.jpg,/logo_match-inmobiliaria_1596571732726.jpg,Publicado hace 80 días,,
"Terreno 740 m. Urbanización Exclusiva, Viña del Chiche","Tumbaco, Quito",USD 220.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 24 días,,
Terreno de Venta Norte Cerca Al Centro Comercial El Portal,"Norte de Quito, Quito",USD 83.000,2 Estacionamientos,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 14 días,,
Valle de Los Chillos Terreno Urbanizado en Conjunto Privado,"Los Chillos, Quito",USD 75.000,0 Baños,/logo_cbr.-dra.-guadalupe-aguirre_1538356008532.jpg,/logo_cbr.-dra.-guadalupe-aguirre_1538356008532.jpg,Publicado hace más de 1 año,,
Terreno en Venta en Cumbaya San Patricio,"Cumbayá, Quito",USD 90.000,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace 141 días,,
"Terreno en Venta, Capri 3150 m con Cerramiento","Norte de Quito, Quito",USD 630.000,0 Baños,/logo_remax-100_1539119191357.jpg,/logo_remax-100_1539119191357.jpg,Publicado hace 89 días,,
